title,label,service_id,service_name,category
"Users should revisit the terms periodically, although in case of material changes, the service will notify",neutral,327,RiseUp.net,"You should revisit the terms periodically, although in case of material changes, the service will notify"
This service does not sell your personal data,good,327,RiseUp.net,Your personal data is not sold
This service assumes no liability for any losses or damages resulting from any matter relating to the service,neutral,327,RiseUp.net,The service assumes no liability for any damages the user incurs
IP addresses of website visitors are not tracked,good,327,RiseUp.net,IP addresses of website visitors are not tracked
The service will resist legal requests for user information where reasonably possible,good,327,RiseUp.net,The service will resist legal requests for your information where reasonably possible
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",neutral,327,RiseUp.net,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service"
This service does not track you,good,327,RiseUp.net,You are not being tracked
The service is provided 'as is' and to be used at the users' sole risk,neutral,327,RiseUp.net,The service is provided 'as is' and to be used at your sole risk
"Users agree not to submit libelous, harassing or threatening content",neutral,327,RiseUp.net,"You agree not to submit libelous, harassing or threatening content"
Your personal data is used for limited purposes,good,327,RiseUp.net,Your personal data is used for limited purposes
You have the right to leave this service at any time,good,327,RiseUp.net,You have the right to leave this service at any time
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,neutral,327,RiseUp.net,This service does not guarantee that it or the products obtained through it meet your expectations or requirements
"User-generated content is encrypted, and this service cannot decrypt it",good,327,RiseUp.net,"This service claims User-generated content is encrypted, and they can not decrypt it"
The service does not use third-party analytics or tracking platforms,good,327,RiseUp.net,No third-party analytics or tracking platforms are used
Your personal data is aggregated into statistics,neutral,327,RiseUp.net,Your personal data is aggregated into statistics
The terms for this service are translated into different languages,neutral,327,RiseUp.net,The terms for this service are translated into different languages
This service provides an onion site accessible over Tor,good,327,RiseUp.net,An onion site accessible over Tor is provided
The service can delete your account without prior notice and without a reason,bad,327,RiseUp.net,Your account can be deleted or permanently suspended without prior notice and without a reason
The service does not share user information with third parties,good,327,RiseUp.net,Your personal data is not shared with third parties
There is a date of the last update of the terms,neutral,511,MyAnimeList,There is a date of the last update of the agreements
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,neutral,511,MyAnimeList,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,neutral,511,MyAnimeList,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder
You are responsible for maintaining the security of your account and for the activities on your account,neutral,511,MyAnimeList,You are responsible for maintaining the security of your account and for the activities on your account
The service does not guarantee accuracy or reliability of the information provided,neutral,511,MyAnimeList,The service does not guarantee accuracy or reliability of the information provided
A free help desk is provided,good,511,MyAnimeList,A free help desk is provided
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",bad,511,MyAnimeList,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting"
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,neutral,511,MyAnimeList,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header
Blocking first party cookies may limit your ability to use the service,neutral,511,MyAnimeList,Blocking first party cookies may limit your ability to use the service
You can opt out of targeted advertising,good,511,MyAnimeList,You can opt out of targeted advertising
First-party cookies are used,neutral,511,MyAnimeList,First-party cookies are used
Third parties are involved in operating the service,neutral,511,MyAnimeList,Third parties are involved in operating the service
The service informs you that its privacy policy does not apply to third party websites,neutral,511,MyAnimeList,The service informs you that its privacy policy does not apply to third party websites
"The terms may be changed at any time, but you will receive notification of the changes",neutral,511,MyAnimeList,"The terms may be changed at any time, but you will receive notification of the changes"
Information is provided about how your personal data is used,good,511,MyAnimeList,Information is provided about how your personal data is used
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",neutral,511,MyAnimeList,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service"
Private messages can be read,bad,511,MyAnimeList,Private messages can be read
Third-party cookies are used for advertising,bad,511,MyAnimeList,Third-party cookies are used for advertising
Many different types of personal data are collected,bad,511,MyAnimeList,Many different types of personal data are collected
There is a date of the last update of the agreements,neutral,511,MyAnimeList,There is a date of the last update of the agreements
Third-party cookies are used for statistics,bad,511,MyAnimeList,Third-party cookies are used for statistics
The service informs you that its privacy policy does not apply to third party websites,neutral,511,MyAnimeList,The service informs you that its privacy policy does not apply to third party websites
You must report to the service any unauthorized use of your account or any breach of security,neutral,511,MyAnimeList,You must report to the service any unauthorized use of your account or any breach of security
"Spidering, crawling, or accessing the site through any automated means is not allowed",neutral,511,MyAnimeList,"Spidering, crawling, or accessing the site through any automated means is not allowed"
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,bad,511,MyAnimeList,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction
You authorise the service to charge a credit card supplied on re-occurring basis,neutral,511,MyAnimeList,You authorise the service to charge a credit card supplied on re-occurring basis
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",neutral,511,MyAnimeList,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service"
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,neutral,460,Credit Karma,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header
The terms for this service are easy to read and include plain language summaries,good,460,Credit Karma,The terms for this service are easy to read
This service is only available to users of a certain age,neutral,460,Credit Karma,This service is only available to users over a certain age
Users agree to comply with the law of the service's country,neutral,460,Credit Karma,You agree to comply with the law of the service's country
They may stop providing the service at any time,neutral,460,Credit Karma,They may stop providing the service at any time
Third parties may be involved in operating the service,neutral,460,Credit Karma,Third parties are involved in operating the service
The service warns you of the potential consequences related to third-party access,good,460,Credit Karma,You are warned of the potential consequences related to third-party access
The service does not guarantee accuracy or reliability of the information provided,neutral,460,Credit Karma,The service does not guarantee accuracy or reliability of the information provided
This service forces users into binding arbitration in the case of disputes,bad,460,Credit Karma,You are forced into binding arbitration in case of disputes
You cannot distribute or disclose your account to third parties,neutral,460,Credit Karma,You cannot distribute or disclose your account to third parties
"You agree not to submit libelous, harassing or threatening content",neutral,460,Credit Karma,"You agree not to submit libelous, harassing or threatening content"
Sensitive data is collected and shared to target advertising,bad,460,Credit Karma,Sensitive data is collected and shared to target advertising
Your personal data is not sold,good,460,Credit Karma,Your personal data is not sold
This service informs you that its Terms of Service does not apply to third party websites,neutral,460,Credit Karma,This service informs you that its Terms of Service does not apply to third party websites
There is a date of the last update of the agreements,neutral,460,Credit Karma,There is a date of the last update of the agreements
You are forced into binding arbitration in case of disputes,bad,460,Credit Karma,You are forced into binding arbitration in case of disputes
This service gives your personal data to third parties involved in its operation,bad,460,Credit Karma,This service gives your personal data to third parties involved in its operation
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",bad,460,Credit Karma,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting"
This service reserves the right to disclose your personal information without notifying you,bad,460,Credit Karma,Your personal data may be disclosed to comply with government requests without notice to you
Information is provided about how they collect personal data,good,460,Credit Karma,Information is provided about how they collect personal data
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,neutral,460,Credit Karma,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header
" Terms may be changed any time at their discretion, without notice to you ",bad,460,Credit Karma," Terms may be changed any time at their discretion, without notice to you "
Information is gathered about you through third parties,bad,460,Credit Karma,Information is gathered about you through third parties
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,bad,460,Credit Karma,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction
This service tracks you on other websites,bad,460,Credit Karma,This service tracks you on other websites
"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",bad,460,Credit Karma,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period"
Some personal data may be kept for business interests or legal obligations,bad,460,Credit Karma,Some personal data may be kept for business interests or legal obligations
Blocking first party cookies may limit your ability to use the service,neutral,460,Credit Karma,Blocking first party cookies may limit your ability to use the service
Your personal data is aggregated into statistics,neutral,460,Credit Karma,Your personal data is aggregated into statistics
This service is only available to users over a certain age,neutral,460,Credit Karma,This service is only available to users over a certain age
"Your IP address is collected, which can be used to view your approximate location",neutral,460,Credit Karma,"Your IP address is collected, which can be used to view your approximate location"
Your personal information is used for many different purposes,bad,460,Credit Karma,Your personal information is used for many different purposes
You are responsible for maintaining the security of your account and for the activities on your account,neutral,460,Credit Karma,You are responsible for maintaining the security of your account and for the activities on your account
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",neutral,460,Credit Karma,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service"
"You should revisit the terms periodically, although in case of material changes, the service will notify",neutral,262,Symbaloo,"You should revisit the terms periodically, although in case of material changes, the service will notify"
Your content can be licensed to third parties,bad,262,Symbaloo,Your content can be licensed to third parties
Your use is throttled,bad,262,Symbaloo,Your use is throttled
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",good,262,Symbaloo,"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner"
They may stop providing the service at any time,neutral,262,Symbaloo,They may stop providing the service at any time
You must report to the service any unauthorized use of your account or any breach of security,neutral,262,Symbaloo,You must report to the service any unauthorized use of your account or any breach of security
"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",bad,262,Symbaloo,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting"
Your personal data is not sold,good,262,Symbaloo,Your personal data is not sold
"If you are the target of a copyright claim, your content may be removed",neutral,262,Symbaloo,"If you are the target of a copyright claim, your content may be removed"
The service is provided 'as is' and to be used at your sole risk,neutral,262,Symbaloo,The service is provided 'as is' and to be used at your sole risk
This service does not guarantee that it or the products obtained through it meet your expectations or requirements,neutral,262,Symbaloo,This service does not guarantee that it or the products obtained through it meet your expectations or requirements
This service reserves the right to disclose your personal information without notifying you,bad,262,Symbaloo,Your personal data may be disclosed to comply with government requests without notice to you
Your content can be distributed through any media ,neutral,262,Symbaloo,Your content can be distributed through any media known now or in the future
The service has non-exclusive use of your content,good,262,Symbaloo,The service has non-exclusive use of your content
This service receives your precise location through GPS coordinates,bad,262,Symbaloo,This service receives your precise location through GPS coordinates
Third-party cookies are used for statistics,bad,262,Symbaloo,Third-party cookies are used for statistics
Instructions are provided on how to submit a copyright claim,neutral,262,Symbaloo,Instructions are provided on how to submit a copyright claim
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,neutral,262,Symbaloo,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision
"Your IP address is collected, which can be used to view your approximate location",neutral,262,Symbaloo,"Your IP address is collected, which can be used to view your approximate location"
Your personal data is aggregated into statistics,neutral,262,Symbaloo,Your personal data is aggregated into statistics
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,neutral,262,Symbaloo,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder
This service does not condone any ideas contained in its user-generated contents,neutral,262,Symbaloo,This service does not condone any ideas contained in its user-generated contents
Third parties used by the service are bound by confidentiality obligations,good,262,Symbaloo,Third parties used by the service are bound by confidentiality obligations
Your data may be processed and stored anywhere in the world,bad,262,Symbaloo,Your data may be processed and stored anywhere in the world
Details are provided about what kind of information they collect,good,262,Symbaloo,Information is provided about what kind of information they collect
Information is provided about how your personal data is used,good,262,Symbaloo,Information is provided about how your personal data is used
This service shares your personal data with third parties that are not essential to its operation,bad,262,Symbaloo,This service shares your personal data with third parties that are not essential to its operation
Third parties are involved in operating the service,neutral,262,Symbaloo,Third parties are involved in operating the service
There is a date of the last update of the agreements,neutral,262,Symbaloo,There is a date of the last update of the agreements
You can opt out of promotional communications,good,262,Symbaloo,You can opt out of promotional communications
You are informed about the risk of publishing personal info online,good,262,Symbaloo,You are informed about the risk of publishing personal info online
"The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection (California, USA)",good,262,Symbaloo,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection
This service gives your personal data to third parties involved in its operation,bad,262,Symbaloo,This service gives your personal data to third parties involved in its operation
You maintain ownership of your content,good,262,Symbaloo,You maintain ownership of your content
You are responsible for maintaining the security of your account and for the activities on your account,neutral,262,Symbaloo,You are responsible for maintaining the security of your account and for the activities on your account
Third-party cookies are used for advertising,bad,262,Symbaloo,Third-party cookies are used for advertising
"Instead of asking directly, this Service will assume your consent merely from your usage.",bad,262,Symbaloo,"Instead of asking directly, this Service will assume your consent to changes of terms merely from your usage"
"You must provide your legal name, pseudonyms are not allowed",bad,262,Symbaloo,"You must provide your legal name, pseudonyms are not allowed"
This service assumes no liability for any losses or damages resulting from any matter relating to the service,neutral,262,Symbaloo,The service assumes no liability for any damages the user incurs
This service forces users into binding arbitration in the case of disputes,bad,306,Mega,You are forced into binding arbitration in case of disputes
You authorise the service to charge a credit card supplied on re-occurring basis,neutral,306,Mega,You authorise the service to charge a credit card supplied on re-occurring basis
"This service collects your IP address, which can be used to view your approximate location",neutral,306,Mega,"Your IP address is collected, which can be used to view your approximate location"
"User-generated content is encrypted, and this service cannot decrypt it",good,306,Mega,"This service claims User-generated content is encrypted, and they can not decrypt it"
Users shall not interfere with another person's enjoyment of the service,bad,306,Mega,You shall not interfere with another person's enjoyment of the service
You maintain ownership of your content,good,306,Mega,You maintain ownership of your content
This service may keep personal data after a request for erasure for business interests or legal obligations,bad,306,Mega,Some personal data may be kept for business interests or legal obligations
The user is informed about security practices,good,306,Mega,Information is provided about security practices
"The service may keep a secure, anonymized record of users' data for analytical purposes even after the data retention period",bad,306,Mega,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period"
There is a date of the last update of the agreements,neutral,306,Mega,There is a date of the last update of the agreements
This service allows you to retrieve an archive of your data,good,306,Mega,You can retrieve an archive of your data
Your personal data is not sold,good,306,Mega,Your personal data is not sold
This service has a no refund policy with some exceptions,neutral,306,Mega,This service has a no refund policy with some exceptions
You are responsible for maintaining the security of your account and for the activities on your account,neutral,306,Mega,You are responsible for maintaining the security of your account and for the activities on your account
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",neutral,306,Mega,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service"
