title,label,service_id,service_name,category
You are forced into binding arbitration in case of disputes unless you mail a letter opting out within 5 days,bad,4521,Gettr,You are forced into binding arbitration in case of disputes
"The court of law governing the terms is in California, USA and Pennsylvania, USA",neutral,1364,Brilliant,The court of law governing the terms is in location X
This service uses your personal information for many different purposes,bad,251,Foursquare,Your personal information is used for many different purposes
You have the right to request lower Charges from Third Party Providers,neutral,252,Uber,You have the right to request lower Charges from Third Party Providers
You are informed about the risk of publishing personal info online,good,262,Symbaloo,You are informed about the risk of publishing personal info online
Your data may be processed and stored anywhere in the world,bad,262,Symbaloo,Your data may be processed and stored anywhere in the world
Discogs users shall not interfere with another person's enjoyment of the service,bad,603,Discogs,You shall not interfere with another person's enjoyment of the service
The cookies used by this service do not contain information that would personally identify you,good,2530,United States Postal Service,The cookies used by this service do not contain information that would personally identify you
Inconvenient process for obtaining personal data,bad,2543,Le Parisien,Inconvenient process for obtaining personal data
A free help desk is provided,good,511,MyAnimeList,A free help desk is provided
Your data is processed and stored in a country that is less friendly to user privacy protection (in AWS US datacenters),bad,2062,Calendly,Your data is processed and stored in a country that is less friendly to user privacy protection
Provides information on security practices,good,157,Tuta,Information is provided about security practices
The court of law governing the terms is in the UK,neutral,2659,Alan Thomson Simulation,The court of law governing the terms is in location X
Any liability on behalf of the service is only limited to the fees you paid as a user or 1000$,bad,2768,Unity,Any liability on behalf of the service is only limited to the fees you paid as a user
The court of law governing the terms is in location Netherlands,neutral,185,Netflix,The court of law governing the terms is in location X
"Spidering, crawling, or accessing the site through any automated means is not allowed",neutral,511,MyAnimeList,"Spidering, crawling, or accessing the site through any automated means is not allowed"
You can choose with whom you share content,good,2646,Guilded,You can choose with whom you share content
This service provides information on their security practices regarding passwords,good,969,ToS;DR Phoenix,Information is provided about security practices
SmartThings can license user content to third parties,bad,3428,SmartThings,Your content can be licensed to third parties
Prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,neutral,183,CouchSurfing,You are prohibited from posting content which promotes violence or politically or religiously extremist values
"You agree not to submit libelous, harassing or threatening content",neutral,460,Credit Karma,"You agree not to submit libelous, harassing or threatening content"
This service employs a broad copyright license over user content including the right to distribute through any media,neutral,2315,Fandango,Your content can be distributed through any media known now or in the future
Logs are deleted after 180 days,good,8283,t2bot.io,Logs are deleted after a finite period of time
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",neutral,511,MyAnimeList,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service"
Users agree not to use the service for illegal purposes,neutral,183,CouchSurfing,You agree not to use the service for illegal purposes
The service has non-exclusive use of your content,good,262,Symbaloo,The service has non-exclusive use of your content
The court of law governing the terms is in location State of Colorado,neutral,11554,Amplifire,The court of law governing the terms is in location X
info given about what personal data they collect,good,591,Ecosia,Information is provided about what kind of information they collect
Voice data is collected and shared with third-parties,bad,2909,Replika,Voice data is collected and shared with third-parties
This service tracks you on other websites and apps,bad,2895,Line Corporation,This service tracks you on other websites
Emails content may be accessed by people working for the service,neutral,1826,Disroot,Your private content may be accessed by people working for the service
The service will not allow third parties to access your personal information without a legal basis,good,251,Foursquare,Third parties are not allowed to access your personal information without a legal basis
"[UK] You agree not to submit libelous, harassing or threatening content",neutral,4024,Just Eat,"You agree not to submit libelous, harassing or threatening content"
Discogs assumes no liability for any losses or damages resulting from any matter relating to the service,neutral,603,Discogs,The service assumes no liability for any damages the user incurs
"This service may collect, use, and share location data, if you have provided your express consent for it.",bad,3580,Yleisradio,"This service may collect, use, and share location data"
Some personal data may be kept after the end of the data retention period or a request for erasure for business purposes,bad,3522,Movistar,Some personal data may be kept for business interests or legal obligations
"Per the service's terms, users may not express negative opinions about them",bad,2491,Gfycat,"Per the service's terms, you may not express negative opinions about them"
This service is a subsidiary of Twilio,neutral,2532,Authy (Twilio),This service is a subsidiary of Company X
This service prohibits users from attempting to gain unauthorized access to other computer systems,neutral,306,Mega,You are prohibited from attempting to gain unauthorized access to other computer systems
This service is only available to users over 18.,neutral,183,CouchSurfing,This service is only available to users over a certain age
The terms are easy to read,good,276,SoundCloud,The terms for this service are easy to read
Your personal data is pseudonymized into statistics,neutral,4514,Booking.com,Your personal data is aggregated into statistics
The court of law governing the terms is in Germany,neutral,591,Ecosia,The court of law governing the terms is in location X
The court of law governing the terms is in location the USA,neutral,6663,Fedora Email,The court of law governing the terms is in location X
The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,good,3181,Headspace,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection
This service requires first-party cookies,neutral,306,Mega,First-party cookies are used
Users are provided compensation according to Upcloud's service level agreement for any unscheduled interruptions,good,1377,Upcloud,You are entitled to a refund if certain thresholds or standards are not met by the service
The court of law governing the terms is in State of Illinois,neutral,3002,MobyGames,The court of law governing the terms is in location X
[UK] Some personal data may be kept after the end of the data retention period or a request for erasure for analytics purposes,bad,4024,Just Eat,Some personal data may be kept for business interests or legal obligations
"User-generated content is encrypted, and this service cannot decrypt it",good,327,RiseUp.net,"This service claims User-generated content is encrypted, and they can not decrypt it"
Users have 1 year to take legal action against the service,bad,200,Twitch,You have a reduced time period to take legal action against the service
The service assumes no liability for any damages the user incurs,neutral,3202,Synology,The service assumes no liability for any damages the user incurs
no refund policy,neutral,267,SpiderOak,The service has a no refund policy
The service guarantees 100% virtual server and network availability to the Customer,good,1377,Upcloud,Accessibility to this service is guaranteed at 99% or more
This service is only available to users over 13,neutral,3682,webmail,This service is only available to users over a certain age
The Discogs website is provided 'as is' and to be used at the users' sole risk,neutral,603,Discogs,The service is provided 'as is' and to be used at your sole risk
Usernames can be rejected for any reason,bad,609,Bandcamp,Usernames can be rejected or changed for any reason
Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,bad,511,MyAnimeList,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction
The court of law governing the terms is in location New Zealand,neutral,2074,Letterboxd,The court of law governing the terms is in location X
"Any liability on behalf of the service is only limited to the fees you paid as a user in the past 3 months, or $500, whichever is greater",bad,3262,Privacy.com,Any liability on behalf of the service is only limited to the fees you paid as a user
The court of law governing the terms is in Gibraltar,neutral,2748,IVPN,The court of law governing the terms is in location X
This service assumes no liability for unauthorized access to your personal information,bad,306,Mega,This service assumes no liability for unauthorized access to your personal information
This service provides an onion site accessible over Tor,good,327,RiseUp.net,An onion site accessible over Tor is provided
The service gives 30 days of notice before closing your account,good,2543,Le Parisien,30 days of notice are given before closing your account
"When the service wants to change its terms, you are notified a week or more in advance.",good,444,Heaven HR,"When the service wants to change its terms, you are notified a week or more in advance"
The service will resist legal requests for user information where reasonably possible,good,327,RiseUp.net,The service will resist legal requests for your information where reasonably possible
SmartThings tracks you on other websites,bad,3428,SmartThings,This service tracks you on other websites
[UK] Your account can be suspended for several reasons,neutral,4024,Just Eat,Your account can be suspended for several reasons
A license is kept on user-generated content even after you close your account,bad,989,Washington Post,A license is kept on user-generated content even after you close your account
Your Personal data may be sold unless you opt out,bad,3522,Movistar,Your Personal data may be sold unless you opt out
